Vivado Simulator 2019.1
Time resolution is 1 ps
Time:                    0 | CPU_RESETN: 0 | SW: 0000000000000000 | BTNC: 0 | VGA_R: xxxx | VGA_G: xxxx | VGA_B: xxxx | VGA_HS: 1 | VGA_VS: 1
Time:                10000 | CPU_RESETN: 1 | SW: 0000000000000000 | BTNC: 0 | VGA_R: xxxx | VGA_G: xxxx | VGA_B: xxxx | VGA_HS: 1 | VGA_VS: 1
Time:                25000 | CPU_RESETN: 1 | SW: 0000000000000000 | BTNC: 0 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:                30000 | CPU_RESETN: 1 | SW: 1010101010101010 | BTNC: 0 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:                50000 | CPU_RESETN: 1 | SW: 1010101010101010 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:                60000 | CPU_RESETN: 1 | SW: 1010101010101010 | BTNC: 0 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:                80000 | CPU_RESETN: 1 | SW: 1010101010101010 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:               100000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
$finish called at time : 300 ns : File "/home/it/Desktop/sv_projects/VGA/project_1/project_1.srcs/sources_1/new/tb_top.sv" Line 56
Time:             25605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:             26245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:             30085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:             32005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:             57605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:             58245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:             62085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:             64005000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 0000 | VGA_HS: 1 | VGA_VS: 1
Time:             89605000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
Time:             90245000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 0 | VGA_VS: 1
Time:             94085000 | CPU_RESETN: 1 | SW: 0101010101010101 | BTNC: 1 | VGA_R: 0000 | VGA_G: 0000 | VGA_B: 1111 | VGA_HS: 1 | VGA_VS: 1
